data;Classe A 0 Sentido C;Classe A 0 Sentido D;Classe A 0 Total;Classe B 0 Sentido C;Classe B 0 Sentido D;Classe B 0 Total;Classe C 0 Sentido C;Classe C 0 Sentido D;Classe C 0 Total;Classe D 0 Sentido C;Classe D 0 Sentido D;Classe D 0 Total;Classe E 0 Sentido C;Classe E 0 Sentido D;Classe E 0 Total;Classe F 0 Sentido C;Classe F 0 Sentido D;Classe F 0 Total;Classe G 0 Sentido C;Classe G 0 Sentido D;Classe G 0 Total;Classe H 0 Sentido C;Classe H 0 Sentido D;Classe H 0 Total;Classe I 0 Sentido C;Classe I 0 Sentido D;Classe I 0 Total;Classe J 0 Sentido C;Classe J 0 Sentido D;Classe J 0 Total;Classe L 0 Sentido C;Classe L 0 Sentido D;Classe L 0 Total;Todos 0 Sentido C;Todos 0 Sentido D;Total Geral
01/08/2014;297;351;648;184;147;331;26;25;51;24;22;46;12;44;56;8;21;29;0;0;0;22;19;41;2241;2421;4662;436;547;983;253;164;417;3503;3761;7264
02/08/2014;210;239;449;154;125;279;22;20;42;9;24;33;7;42;49;6;20;26;0;1;1;14;8;22;2015;2809;4824;480;704;1184;199;135;334;3116;4127;7243
03/08/2014;165;142;307;61;42;103;11;6;17;11;5;16;22;9;31;8;5;13;0;1;1;20;3;23;3168;2365;5533;656;537;1193;163;74;237;4285;3189;7474
04/08/2014;254;378;632;169;198;367;19;18;37;16;9;25;12;22;34;7;14;21;0;0;0;13;3;16;2047;2019;4066;621;404;1025;259;150;409;3417;3215;6632
05/08/2014;278;358;636;180;187;367;42;31;73;20;22;42;8;43;51;6;19;25;0;0;0;12;16;28;1703;1928;3631;402;385;787;206;161;367;2857;3150;6007
06/08/2014;322;370;692;224;178;402;29;25;54;15;29;44;10;45;55;9;17;26;0;0;0;10;9;19;1847;1955;3802;419;386;805;228;172;400;3113;3186;6299
07/08/2014;259;411;670;208;226;434;21;25;46;11;23;34;16;45;61;14;13;27;0;1;1;9;16;25;1902;2020;3922;405;414;819;218;159;377;3063;3353;6416
08/08/2014;333;377;710;235;173;408;36;28;64;20;19;39;18;49;67;7;14;21;0;0;0;20;10;30;2456;2693;5149;451;547;998;256;180;436;3832;4090;7922
09/08/2014;236;272;508;162;126;288;23;19;42;13;7;20;7;32;39;3;8;11;0;0;0;8;8;16;2148;3483;5631;566;828;1394;146;124;270;3312;4907;8219
10/08/2014;147;98;245;61;40;101;16;5;21;10;12;22;7;9;16;14;4;18;0;0;0;24;4;28;3779;2683;6462;814;592;1406;157;59;216;5029;3506;8535
11/08/2014;228;362;590;184;182;366;20;36;56;20;22;42;12;24;36;9;10;19;0;0;0;7;9;16;2428;2102;4530;683;400;1083;224;153;377;3815;3300;7115
12/08/2014;253;338;591;215;220;435;29;31;60;18;23;41;9;33;42;11;19;30;0;0;0;15;15;30;1824;2096;3920;411;352;763;209;133;342;2994;3260;6254
13/08/2014;317;367;684;215;184;399;37;30;67;19;28;47;5;29;34;8;12;20;0;0;0;18;11;29;1808;1950;3758;405;378;783;243;177;420;3075;3166;6241
14/08/2014;315;456;771;202;204;406;24;30;54;16;25;41;14;38;52;14;17;31;1;0;1;16;19;35;1967;2707;4674;408;495;903;235;177;412;3212;4168;7380
15/08/2014;250;294;544;180;146;326;28;23;51;12;20;32;20;26;46;14;16;30;0;0;0;13;7;20;2185;3621;5806;457;652;1109;206;150;356;3365;4955;8320
16/08/2014;225;198;423;143;111;254;29;13;42;12;18;30;10;22;32;5;11;16;0;0;0;13;18;31;2033;2307;4340;497;606;1103;149;115;264;3116;3419;6535
17/08/2014;171;153;324;79;46;125;17;7;24;12;4;16;19;14;33;9;9;18;0;0;0;17;3;20;4698;2358;7056;724;518;1242;178;80;258;5924;3192;9116
18/08/2014;276;362;638;158;187;345;23;26;49;21;11;32;17;21;38;8;11;19;0;0;0;20;6;26;2182;2025;4207;597;365;962;239;152;391;3541;3166;6707
19/08/2014;283;370;653;182;189;371;27;31;58;16;29;45;20;41;61;7;14;21;0;2;2;15;11;26;1697;1889;3586;396;340;736;180;161;341;2823;3077;5900
20/08/2014;304;365;669;211;215;426;30;26;56;19;17;36;19;47;66;7;9;16;0;0;0;16;6;22;1779;1887;3666;401;394;795;249;157;406;3035;3123;6158
21/08/2014;310;408;718;210;229;439;37;36;73;15;14;29;17;32;49;12;18;30;2;0;2;14;14;28;1880;1822;3702;412;351;763;213;169;382;3122;3093;6215
22/08/2014;315;363;678;218;183;401;31;37;68;26;16;42;12;45;57;4;18;22;0;0;0;13;15;28;2189;2333;4522;403;504;907;214;199;413;3425;3713;7138
23/08/2014;205;254;459;168;143;311;26;17;43;11;20;31;10;37;47;5;10;15;0;0;0;9;10;19;1845;2539;4384;457;609;1066;146;132;278;2882;3771;6653
24/08/2014;171;135;306;71;47;118;14;9;23;14;8;22;14;20;34;8;4;12;1;0;1;10;8;18;2791;2206;4997;586;454;1040;160;76;236;3840;2967;6807
25/08/2014;270;383;653;200;200;400;26;25;51;17;19;36;17;12;29;7;11;18;0;0;0;21;4;25;1985;2006;3991;602;388;990;186;150;336;3331;3198;6529
26/08/2014;262;356;618;171;191;362;22;40;62;22;27;49;19;45;64;8;18;26;0;0;0;6;4;10;1695;1870;3565;407;370;777;229;164;393;2841;3085;5926
27/08/2014;306;349;655;172;176;348;30;26;56;21;28;49;6;38;44;5;7;12;0;0;0;7;5;12;1815;1861;3676;409;365;774;266;182;448;3037;3037;6074
28/08/2014;323;437;760;228;211;439;40;30;70;15;21;36;13;44;57;4;11;15;0;0;0;20;8;28;1888;1891;3779;385;343;728;220;198;418;3136;3194;6330
29/08/2014;307;357;664;254;206;460;35;22;57;18;34;52;13;29;42;4;14;18;1;1;2;17;13;30;2243;2417;4660;401;556;957;207;155;362;3500;3804;7304
30/08/2014;252;265;517;178;145;323;18;25;43;22;19;41;5;27;32;7;11;18;0;0;0;11;5;16;2025;2876;4901;511;705;1216;144;118;262;3173;4196;7369
31/08/2014;166;129;295;81;51;132;13;5;18;11;17;28;8;15;23;5;5;10;1;0;1;12;10;22;3299;2413;5712;686;539;1225;185;99;284;4467;3283;7750
01/09/2014;245;343;588;181;196;377;23;17;40;18;15;33;20;28;48;6;8;14;1;0;1;8;8;16;2086;2122;4208;666;394;1060;236;191;427;3490;3322;6812
02/09/2014;256;331;587;201;207;408;30;18;48;15;23;38;13;35;48;1;13;14;0;0;0;5;6;11;1798;1980;3778;419;411;830;228;180;408;2966;3204;6170
03/09/2014;280;374;654;219;237;456;28;27;55;27;30;57;14;35;49;6;11;17;0;0;0;18;10;28;1861;1954;3815;406;388;794;250;153;403;3109;3219;6328
04/09/2014;332;397;729;194;223;417;26;24;50;27;25;52;5;32;37;3;13;16;0;0;0;17;5;22;2038;2034;4072;393;367;760;264;206;470;3299;3326;6625
05/09/2014;347;407;754;194;175;369;29;20;49;15;25;40;12;45;57;7;17;24;0;0;0;17;8;25;2245;2649;4894;409;530;939;277;174;451;3552;4050;7602
06/09/2014;238;256;494;136;155;291;28;15;43;10;21;31;4;28;32;5;7;12;0;0;0;10;8;18;1979;3100;5079;469;695;1164;196;158;354;3075;4443;7518
07/09/2014;211;161;372;87;76;163;15;10;25;9;5;14;19;10;29;8;11;19;0;0;0;21;8;29;3508;2348;5856;643;501;1144;182;94;276;4703;3224;7927
08/09/2014;286;390;676;195;214;409;32;21;53;17;19;36;15;18;33;9;6;15;0;0;0;11;1;12;2226;2173;4399;659;406;1065;224;176;400;3674;3424;7098
09/09/2014;315;411;726;256;229;485;26;33;59;9;29;38;22;43;65;5;21;26;1;0;1;10;13;23;1808;2030;3838;437;400;837;257;209;466;3146;3418;6564
10/09/2014;344;354;698;228;222;450;31;29;60;13;35;48;19;49;68;8;17;25;0;0;0;10;18;28;1918;2014;3932;428;418;846;237;189;426;3236;3345;6581
11/09/2014;320;421;741;248;241;489;37;26;63;21;25;46;15;58;73;8;17;25;0;0;0;21;12;33;2014;2029;4043;382;364;746;214;195;409;3280;3388;6668
12/09/2014;349;380;729;204;205;409;34;29;63;13;22;35;15;44;59;5;17;22;0;0;0;9;14;23;2229;2762;4991;428;538;966;258;199;457;3544;4210;7754
13/09/2014;237;262;499;163;166;329;26;23;49;12;17;29;9;24;33;4;19;23;0;0;0;12;12;24;1993;3095;5088;461;653;1114;182;156;338;3099;4427;7526
14/09/2014;243;206;449;90;59;149;21;3;24;23;8;31;13;17;30;13;5;18;0;0;0;15;11;26;3459;2365;5824;677;548;1225;175;84;259;4729;3306;8035
15/09/2014;268;352;620;190;177;367;33;24;57;16;21;37;17;18;35;9;11;20;0;0;0;8;5;13;2393;2154;4547;659;441;1100;208;168;376;3801;3371;7172
16/09/2014;243;323;566;191;187;378;38;33;71;17;29;46;19;40;59;2;15;17;0;0;0;8;14;22;1796;1951;3747;456;406;862;204;163;367;2974;3161;6135
17/09/2014;317;357;674;188;191;379;24;25;49;26;28;54;13;38;51;11;11;22;0;0;0;11;16;27;1856;1913;3769;438;396;834;300;194;494;3184;3169;6353
18/09/2014;287;366;653;206;235;441;26;18;44;18;25;43;15;33;48;11;17;28;0;0;0;23;9;32;1957;1930;3887;396;382;778;233;207;440;3172;3222;6394
19/09/2014;345;383;728;216;195;411;37;36;73;15;16;31;18;49;67;6;17;23;0;0;0;10;16;26;2201;2617;4818;399;501;900;243;197;440;3490;4027;7517
20/09/2014;229;279;508;177;167;344;26;18;44;12;25;37;12;46;58;6;15;21;0;2;2;9;9;18;2039;3015;5054;461;683;1144;204;159;363;3175;4418;7593
21/09/2014;247;208;455;90;68;158;19;9;28;10;7;17;17;19;36;10;6;16;1;0;1;9;7;16;3774;2753;6527;2261;1256;3517;240;121;361;6678;4454;11132
22/09/2014;249;378;627;189;197;386;27;23;50;12;18;30;21;26;47;9;6;15;1;2;3;20;5;25;2220;2196;4416;671;392;1063;232;166;398;3651;3409;7060
23/09/2014;283;345;628;205;239;444;28;29;57;13;20;33;18;59;77;8;12;20;0;1;1;11;11;22;1789;1928;3717;407;388;795;225;173;398;2987;3205;6192
24/09/2014;323;341;664;226;187;413;32;31;63;15;23;38;12;47;59;8;18;26;0;1;1;14;16;30;1774;1948;3722;392;389;781;234;167;401;3030;3168;6198
25/09/2014;304;413;717;228;252;480;32;31;63;24;27;51;16;48;64;13;14;27;0;0;0;9;17;26;1992;1968;3960;370;343;713;249;209;458;3237;3322;6559
26/09/2014;368;364;732;236;243;479;33;20;53;22;30;52;18;46;64;11;17;28;0;1;1;16;16;32;2276;2591;4867;416;534;950;245;212;457;3641;4074;7715
27/09/2014;247;249;496;160;160;320;39;17;56;16;19;35;12;37;49;4;18;22;0;1;1;16;15;31;2125;3090;5215;481;668;1149;178;153;331;3278;4427;7705
28/09/2014;271;223;494;118;73;191;20;5;25;15;13;28;14;12;26;15;3;18;1;0;1;17;3;20;3717;2597;6314;658;515;1173;205;91;296;5051;3535;8586
29/09/2014;274;375;649;189;216;405;53;26;79;13;22;35;13;39;52;8;10;18;0;0;0;12;8;20;2262;2174;4436;597;403;1000;191;163;354;3612;3436;7048
30/09/2014;261;344;605;229;218;447;29;26;55;22;27;49;11;51;62;7;16;23;1;0;1;11;19;30;1787;1976;3763;424;378;802;239;182;421;3021;3237;6258
01/10/2014;313;345;658;192;216;408;35;25;60;17;31;48;11;36;47;9;23;32;1;0;1;9;10;19;1839;1994;3833;424;425;849;273;208;481;3123;3313;6436
02/10/2014;275;412;687;221;252;473;30;29;59;30;22;52;15;37;52;8;12;20;0;1;1;14;14;28;1988;2262;4250;403;380;783;254;186;440;3238;3607;6845
03/10/2014;378;404;782;243;215;458;36;38;74;10;16;26;13;44;57;9;18;27;1;0;1;15;20;35;2284;3855;6139;460;641;1101;222;192;414;3671;5443;9114
04/10/2014;253;256;509;138;138;276;21;9;30;15;16;31;7;30;37;3;11;14;0;2;2;13;10;23;2152;4298;6450;513;1036;1549;190;154;344;3305;5960;9265
05/10/2014;145;130;275;47;30;77;17;8;25;12;11;23;17;6;23;13;4;17;0;0;0;8;7;15;4947;3023;7970;1061;779;1840;146;69;215;6413;4067;10480
06/10/2014;307;401;708;197;206;403;18;28;46;17;15;32;22;30;52;9;10;19;0;0;0;12;8;20;3536;2041;5577;860;387;1247;244;171;415;5222;3297;8519
07/10/2014;288;364;652;205;212;417;23;32;55;16;24;40;12;30;42;8;8;16;0;0;0;9;13;22;2058;1988;4046;482;397;879;226;139;365;3327;3207;6534
08/10/2014;314;345;659;246;217;463;43;33;76;24;30;54;10;48;58;5;12;17;0;1;1;6;18;24;2006;2140;4146;437;409;846;253;166;419;3344;3419;6763
09/10/2014;318;415;733;217;251;468;26;35;61;17;25;42;12;40;52;10;22;32;0;0;0;13;9;22;2063;1885;3948;440;401;841;219;204;423;3335;3287;6622
10/10/2014;359;350;709;228;215;443;36;32;68;27;28;55;20;45;65;19;19;38;0;0;0;20;13;33;2347;2559;4906;469;532;1001;230;179;409;3755;3972;7727
11/10/2014;272;286;558;187;170;357;25;24;49;17;23;40;18;40;58;7;21;28;0;0;0;18;20;38;2183;3199;5382;517;757;1274;214;151;365;3458;4691;8149
12/10/2014;218;194;412;79;58;137;20;7;27;13;7;20;25;15;40;28;9;37;0;0;0;23;10;33;3727;2743;6470;697;478;1175;201;103;304;5031;3624;8655
13/10/2014;276;348;624;200;207;407;35;19;54;13;12;25;20;33;53;12;11;23;0;1;1;14;7;21;2313;2245;4558;602;400;1002;212;156;368;3697;3439;7136
14/10/2014;272;370;642;173;191;364;35;30;65;23;21;44;15;41;56;7;26;33;0;1;1;18;15;33;1782;2118;3900;445;373;818;186;172;358;2956;3358;6314
15/10/2014;282;332;614;216;190;406;34;27;61;25;32;57;11;37;48;22;14;36;0;0;0;14;18;32;1894;2072;3966;425;386;811;225;161;386;3148;3269;6417
16/10/2014;320;423;743;230;257;487;40;27;67;20;22;42;20;31;51;13;21;34;0;0;0;20;13;33;2098;2111;4209;414;413;827;261;200;461;3436;3518;6954
17/10/2014;445;412;857;319;331;650;43;32;75;19;21;40;24;40;64;9;20;29;0;3;3;16;14;30;2475;2829;5304;435;563;998;263;210;473;4048;4475;8523
18/10/2014;303;362;665;189;174;363;32;24;56;12;20;32;15;37;52;7;16;23;0;0;0;7;11;18;2324;3559;5883;525;793;1318;235;189;424;3649;5185;8834
19/10/2014;351;267;618;71;53;124;18;12;30;12;14;26;19;21;40;9;5;14;0;1;1;17;3;20;3989;2873;6862;695;551;1246;229;138;367;5410;3938;9348
20/10/2014;288;368;656;209;203;412;25;20;45;17;15;32;15;35;50;3;9;12;0;1;1;12;6;18;2553;2130;4683;718;413;1131;214;174;388;4054;3374;7428
21/10/2014;280;367;647;202;184;386;29;26;55;18;18;36;19;35;54;7;15;22;0;1;1;5;3;8;1702;1781;3483;428;367;795;203;158;361;2893;2955;5848
22/10/2014;317;361;678;239;207;446;32;24;56;24;17;41;9;36;45;6;16;22;1;1;2;14;14;28;1800;1877;3677;411;393;804;211;155;366;3064;3101;6165
23/10/2014;297;425;722;242;217;459;42;25;67;19;18;37;13;28;41;10;14;24;0;0;0;16;10;26;1790;1936;3726;399;358;757;214;200;414;3042;3231;6273
24/10/2014;312;389;701;208;212;420;29;36;65;17;29;46;13;34;47;9;11;20;0;1;1;10;16;26;2025;2834;4859;423;577;1000;269;166;435;3315;4305;7620
25/10/2014;267;293;560;178;160;338;20;22;42;19;18;37;9;45;54;6;17;23;0;1;1;12;14;26;1870;3424;5294;480;808;1288;219;154;373;3080;4956;8036
26/10/2014;150;116;266;52;36;88;24;5;29;12;10;22;14;14;28;5;6;11;0;0;0;14;6;20;4017;2820;6837;890;716;1606;148;57;205;5326;3786;9112
27/10/2014;233;348;581;198;218;416;23;21;44;15;10;25;10;30;40;6;11;17;0;1;1;11;7;18;2859;1837;4696;757;385;1142;186;148;334;4298;3016;7314
28/10/2014;273;382;655;234;199;433;26;16;42;22;14;36;11;23;34;3;10;13;2;0;2;7;14;21;1789;1887;3676;443;363;806;224;159;383;3034;3067;6101
29/10/2014;309;352;661;239;246;485;26;29;55;25;21;46;17;45;62;7;9;16;0;0;0;18;13;31;1842;1879;3721;416;393;809;239;158;397;3138;3145;6283
30/10/2014;295;395;690;237;214;451;30;21;51;18;24;42;17;33;50;11;18;29;0;0;0;20;17;37;1933;1883;3816;412;385;797;244;157;401;3217;3147;6364
31/10/2014;325;363;688;249;235;484;33;34;67;15;26;41;9;53;62;3;22;25;0;3;3;8;17;25;2283;2769;5052;449;571;1020;232;178;410;3606;4271;7877
01/11/2014;239;258;497;189;162;351;27;12;39;14;19;33;13;28;41;2;9;11;0;0;0;14;21;35;2040;3792;5832;528;780;1308;156;145;301;3222;5226;8448
02/11/2014;173;134;307;87;54;141;22;7;29;8;6;14;19;11;30;6;6;12;0;0;0;24;4;28;4878;3330;8208;816;651;1467;194;94;288;6227;4297;10524
03/11/2014;250;337;587;210;221;431;20;15;35;19;12;31;4;23;27;6;11;17;0;0;0;11;5;16;2444;2036;4480;728;430;1158;239;160;399;3931;3250;7181
04/11/2014;282;363;645;226;216;442;26;24;50;24;13;37;20;41;61;5;10;15;0;1;1;6;15;21;1781;1943;3724;424;383;807;176;129;305;2970;3138;6108
05/11/2014;316;334;650;247;227;474;27;19;46;18;24;42;11;37;48;10;15;25;0;0;0;16;15;31;1856;1959;3815;432;402;834;229;173;402;3162;3205;6367
06/11/2014;276;405;681;261;249;510;23;19;42;21;16;37;16;29;45;9;9;18;0;0;0;11;18;29;1896;1875;3771;408;367;775;227;167;394;3148;3154;6302
07/11/2014;329;359;688;231;198;429;28;36;64;14;23;37;4;23;27;6;10;16;1;0;1;15;10;25;2299;2475;4774;424;546;970;247;176;423;3598;3856;7454
08/11/2014;238;273;511;151;145;296;18;21;39;19;17;36;5;31;36;6;7;13;1;0;1;8;13;21;1896;2715;4611;547;730;1277;214;127;341;3103;4079;7182
09/11/2014;287;241;528;78;58;136;20;6;26;10;13;23;21;11;32;9;7;16;0;0;0;16;4;20;3035;2197;5232;736;559;1295;167;98;265;4379;3194;7573
10/11/2014;255;379;634;217;227;444;25;29;54;16;18;34;14;19;33;12;14;26;0;0;0;14;3;17;2132;2118;4250;636;421;1057;199;163;362;3520;3391;6911
11/11/2014;289;349;638;217;226;443;37;25;62;13;21;34;8;22;30;5;12;17;0;0;0;4;13;17;1763;1955;3718;441;368;809;257;208;465;3034;3199;6233
12/11/2014;322;379;701;244;212;456;34;16;50;17;18;35;13;36;49;7;13;20;0;1;1;9;18;27;1872;1943;3815;414;390;804;233;180;413;3165;3206;6371
13/11/2014;281;409;690;234;219;453;37;25;62;19;30;49;12;29;41;14;16;30;0;0;0;13;13;26;1996;1897;3893;412;363;775;227;181;408;3245;3182;6427
14/11/2014;367;419;786;280;235;515;36;37;73;14;18;32;12;42;54;7;14;21;0;0;0;5;21;26;2467;2841;5308;394;574;968;250;201;451;3832;4402;8234
15/11/2014;219;229;448;164;140;304;28;25;53;13;22;35;16;20;36;5;10;15;0;0;0;13;11;24;2121;3255;5376;490;754;1244;158;131;289;3227;4597;7824
16/11/2014;252;229;481;111;74;185;15;5;20;10;3;13;17;10;27;10;4;14;0;0;0;27;4;31;4031;2659;6690;709;501;1210;191;127;318;5373;3616;8989
17/11/2014;253;378;631;194;196;390;24;29;53;20;18;38;18;18;36;10;12;22;0;1;1;9;14;23;2161;2150;4311;673;399;1072;211;153;364;3573;3368;6941
18/11/2014;279;354;633;184;199;383;30;23;53;18;23;41;8;37;45;10;10;20;0;0;0;9;15;24;1731;1989;3720;395;370;765;228;168;396;2892;3188;6080
19/11/2014;329;375;704;244;218;462;28;27;55;17;12;29;11;31;42;13;10;23;1;0;1;6;17;23;1878;1993;3871;416;387;803;231;156;387;3174;3226;6400
20/11/2014;292;416;708;245;233;478;25;24;49;20;16;36;14;33;47;13;11;24;0;1;1;12;17;29;1928;1875;3803;399;381;780;207;167;374;3155;3174;6329
21/11/2014;337;358;695;218;189;407;21;30;51;27;17;44;20;24;44;5;12;17;0;0;0;14;12;26;2321;2388;4709;423;500;923;244;178;422;3630;3708;7338
22/11/2014;242;252;494;161;154;315;29;14;43;13;12;25;12;27;39;3;6;9;0;0;0;15;14;29;2094;2787;4881;496;670;1166;200;121;321;3265;4057;7322
23/11/2014;225;189;414;78;58;136;9;6;15;13;8;21;10;18;28;5;6;11;1;0;1;26;5;31;2950;2286;5236;587;480;1067;172;82;254;4076;3138;7214
24/11/2014;240;365;605;203;218;421;29;16;45;17;16;33;17;28;45;6;10;16;0;0;0;15;7;22;2000;2008;4008;681;405;1086;187;136;323;3395;3209;6604
25/11/2014;249;310;559;220;210;430;29;21;50;20;16;36;16;39;55;6;3;9;0;0;0;9;18;27;1729;1883;3612;404;355;759;199;148;347;2881;3003;5884
26/11/2014;314;323;637;193;215;408;29;26;55;18;25;43;23;38;61;7;14;21;1;1;2;16;17;33;1858;1905;3763;388;364;752;233;158;391;3080;3086;6166
27/11/2014;280;342;622;213;244;457;32;25;57;13;35;48;18;39;57;7;11;18;0;1;1;7;10;17;1867;2030;3897;376;398;774;230;171;401;3043;3306;6349
28/11/2014;343;357;700;242;216;458;37;28;65;22;16;38;15;46;61;7;14;21;0;0;0;9;17;26;2372;2479;4851;447;531;978;224;150;374;3718;3854;7572
29/11/2014;245;246;491;153;158;311;29;17;46;29;18;47;14;38;52;12;12;24;0;0;0;7;13;20;2117;2896;5013;542;756;1298;194;164;358;3342;4318;7660
30/11/2014;227;192;419;88;35;123;20;8;28;6;11;17;15;16;31;10;8;18;1;0;1;14;8;22;3267;2441;5708;673;490;1163;174;86;260;4495;3295;7790
01/12/2014;287;370;657;168;181;349;23;18;41;21;9;30;15;25;40;7;4;11;0;0;0;6;9;15;2161;2064;4225;669;429;1098;175;140;315;3532;3249;6781
02/12/2014;273;336;609;214;219;433;25;16;41;17;15;32;17;37;54;5;9;14;0;0;0;8;10;18;1758;1968;3726;443;403;846;188;131;319;2948;3144;6092
03/12/2014;316;370;686;232;218;450;32;33;65;20;28;48;9;43;52;8;8;16;0;0;0;18;17;35;1886;1968;3854;446;423;869;236;152;388;3203;3260;6463
04/12/2014;305;421;726;216;248;464;29;24;53;15;26;41;8;35;43;7;14;21;0;0;0;10;15;25;2076;2157;4233;422;380;802;261;165;426;3349;3485;6834
05/12/2014;351;388;739;230;229;459;32;27;59;13;20;33;12;28;40;9;9;18;0;1;1;4;13;17;2400;2531;4931;452;558;1010;267;180;447;3770;3984;7754
06/12/2014;264;257;521;171;175;346;29;24;53;23;13;36;4;35;39;5;14;19;0;0;0;13;5;18;2229;2974;5203;484;736;1220;207;129;336;3429;4362;7791
07/12/2014;221;215;436;73;48;121;11;11;22;15;6;21;18;13;31;7;8;15;0;0;0;13;7;20;3299;2656;5955;746;590;1336;192;94;286;4595;3648;8243
08/12/2014;325;416;741;195;201;396;33;28;61;30;16;46;22;29;51;12;15;27;0;0;0;10;10;20;2244;2180;4424;677;435;1112;219;183;402;3767;3513;7280
09/12/2014;309;370;679;197;223;420;30;35;65;22;19;41;15;43;58;8;14;22;0;1;1;8;14;22;1884;2069;3953;425;369;794;231;153;384;3129;3310;6439
10/12/2014;319;341;660;211;223;434;26;34;60;20;24;44;15;31;46;6;15;21;1;2;3;4;8;12;2054;2119;4173;404;412;816;282;170;452;3342;3379;6721
11/12/2014;316;414;730;239;272;511;36;26;62;21;23;44;14;37;51;10;14;24;0;0;0;16;4;20;2154;2178;4332;421;387;808;232;164;396;3459;3519;6978
12/12/2014;343;377;720;247;227;474;34;38;72;21;21;42;20;43;63;2;13;15;0;0;0;18;9;27;2373;2622;4995;453;522;975;250;188;438;3761;4060;7821
13/12/2014;276;295;571;159;131;290;35;17;52;18;24;42;11;37;48;1;11;12;0;1;1;13;9;22;2302;3170;5472;512;747;1259;202;141;343;3529;4583;8112
14/12/2014;286;252;538;86;62;148;23;9;32;14;8;22;14;19;33;9;4;13;0;0;0;7;4;11;3436;2738;6174;640;549;1189;174;104;278;4689;3749;8438
15/12/2014;298;389;687;206;197;403;23;27;50;11;10;21;20;26;46;11;6;17;0;0;0;11;5;16;2333;2262;4595;681;442;1123;211;130;341;3805;3494;7299
16/12/2014;328;381;709;191;241;432;33;23;56;18;18;36;22;29;51;12;11;23;0;0;0;11;7;18;2074;2281;4355;444;415;859;236;142;378;3369;3548;6917
17/12/2014;346;382;728;252;221;473;28;31;59;26;24;50;13;35;48;5;18;23;1;0;1;5;6;11;2166;2259;4425;437;433;870;255;132;387;3534;3541;7075
18/12/2014;317;423;740;267;252;519;42;33;75;23;20;43;18;44;62;9;11;20;0;0;0;22;9;31;2261;2332;4593;414;418;832;232;161;393;3605;3703;7308
19/12/2014;384;410;794;250;224;474;26;31;57;23;18;41;21;43;64;5;9;14;0;1;1;12;9;21;2462;2821;5283;460;528;988;234;162;396;3877;4256;8133
